"airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"UA",911,"MKE","ORD","2024-08-01","05:51","US",2115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,list("DEN", "RNO"),3362.82
"AA",836,"ORD","ORD","2024-08-01","07:01","US",1309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,list("ANC"),5677.34
"NZ",483,"HNL","ORD","2024-08-01","06:18","US",9729,"00:00:00","2024-07-31T17:15:00-10:00","2024-07-31T17:40:00-10:00","-00:07:00","2024-07-31T17:08:00-10:00","2024-07-31T17:27:00-10:00","-00:24:00","2024-08-01T05:54:00-05:00","2024-08-01T05:47:00-05:00","-00:26:00","2024-08-01T05:52:00-05:00","2024-08-01T05:46:00-05:00","1","B17",0,list("None"),4236.84
"UA",483,"HNL","ORD","2024-08-01","06:18","US",218,"00:00:00","2024-07-31T17:15:00-10:00","2024-07-31T17:40:00-10:00","-00:07:00","2024-07-31T17:08:00-10:00","2024-07-31T17:27:00-10:00","-00:24:00","2024-08-01T05:54:00-05:00","2024-08-01T05:47:00-05:00","-00:26:00","2024-08-01T05:52:00-05:00","2024-08-01T05:46:00-05:00","1","B17",0,list("None"),4236.84
"UA",566,"YVR","ORD","2024-08-01","04:56","CA",1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,list("SFO"),2643.31
"BA",249,"LAX","ORD","2024-08-01","00:19","US",5789,"00:16:00","2024-07-31T18:26:00-07:00",NA,"00:24:00","2024-07-31T18:34:00-07:00","2024-07-31T18:45:00-07:00","00:13:00","2024-08-01T00:32:00-05:00",NA,"00:15:00","2024-08-01T00:34:00-05:00","2024-08-01T00:23:00-05:00","3","H16",0,list("None"),1741.16
"TN",249,"LAX","ORD","2024-08-01","00:19","US",1226,"00:16:00","2024-07-31T18:26:00-07:00",NA,"00:24:00","2024-07-31T18:34:00-07:00","2024-07-31T18:45:00-07:00","00:13:00","2024-08-01T00:32:00-05:00",NA,"00:15:00","2024-08-01T00:34:00-05:00","2024-08-01T00:23:00-05:00","3","H16",0,list("None"),1741.16
"JL",249,"LAX","ORD","2024-08-01","00:19","US",7520,"00:16:00","2024-07-31T18:26:00-07:00",NA,"00:24:00","2024-07-31T18:34:00-07:00","2024-07-31T18:45:00-07:00","00:13:00","2024-08-01T00:32:00-05:00",NA,"00:15:00","2024-08-01T00:34:00-05:00","2024-08-01T00:23:00-05:00","3","H16",0,list("None"),1741.16
"MH",249,"LAX","ORD","2024-08-01","00:19","US",9337,"00:16:00","2024-07-31T18:26:00-07:00",NA,"00:24:00","2024-07-31T18:34:00-07:00","2024-07-31T18:45:00-07:00","00:13:00","2024-08-01T00:32:00-05:00",NA,"00:15:00","2024-08-01T00:34:00-05:00","2024-08-01T00:23:00-05:00","3","H16",0,list("None"),1741.16
"FJ",249,"LAX","ORD","2024-08-01","00:19","US",5024,"00:16:00","2024-07-31T18:26:00-07:00",NA,"00:24:00","2024-07-31T18:34:00-07:00","2024-07-31T18:45:00-07:00","00:13:00","2024-08-01T00:32:00-05:00",NA,"00:15:00","2024-08-01T00:34:00-05:00","2024-08-01T00:23:00-05:00","3","H16",0,list("None"),1741.16
